plz,stadtteil,preis,groesse,zimmer,a_name,link
10247,Friedrichshain,375000,72.0,3.0,immoberlin-de-vermietete-wohnung-mit-suedbalkon-in-sehr-gefragter-lage,https://www.ebay-kleinanzeigen.de/s-anzeige/immoberlin-de-vermietete-wohnung-mit-suedbalkon-in-sehr-gefragter-lage/2050003130-196-3353
12307,Tempelhof,258000,59.48,2.0,sichere-geldanlage-gepflegte-und-vermietete-2-zimmer-wohnung-sucht-neuen-eigentuemer,https://www.ebay-kleinanzeigen.de/s-anzeige/sichere-geldanlage-gepflegte-und-vermietete-2-zimmer-wohnung-sucht-neuen-eigentuemer/1739801693-196-3412
13403,Reinickendorf,321000,82.65,3.0,vermietete-wohnung-im-denkmalgeschuetzten-pfahler-block-13403-berlin,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-wohnung-im-denkmalgeschuetzten-pfahler-block-13403-berlin/1770924681-196-3462
10715,Wilmersdorf,320000,54.33,2.0,vermietete-2-zimmer-wohnung-in-saniertem-zustand-am-bundesplatz,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-2-zimmer-wohnung-in-saniertem-zustand-am-bundesplatz/2131589336-196-3537
12437,Treptow,239000,56.84,2.0,top-gepflegt-ruhig-verkehrsguenstig-2-zi-dg-bezugsfr-,https://www.ebay-kleinanzeigen.de/s-anzeige/top-gepflegt-ruhig-verkehrsguenstig-2-zi-dg-bezugsfr-/2141159867-196-3481
10707,Wilmersdorf,369000,79.43,3.0,berlin-wilmersdorf-renditeobjekt-mit-balkon-in-zentraler-lage-obj-6144,https://www.ebay-kleinanzeigen.de/s-anzeige/berlin-wilmersdorf-renditeobjekt-mit-balkon-in-zentraler-lage-obj-6144/2156425026-196-3534
10553,Tiergarten,240000,59.0,2.0,immoberlin-de-erfreuliche-vermietete-altbauwohnung-in-ruhiger-lage-beim-spreeufer,https://www.ebay-kleinanzeigen.de/s-anzeige/immoberlin-de-erfreuliche-vermietete-altbauwohnung-in-ruhiger-lage-beim-spreeufer/2050017416-196-9663
12355,Rudow,549000,114.0,4.0,extravagante-lichtdurchflutete-dachgeschosswohnung-im-gruenen-nahe-u7,https://www.ebay-kleinanzeigen.de/s-anzeige/extravagante-lichtdurchflutete-dachgeschosswohnung-im-gruenen-nahe-u7/2156376469-196-26893
10707,Wilmersdorf,1045000,77.24,2.0,feinste-ku-damm-lage-aktuell-vermietete-ruhige-2-zimmer-wohnung-mit-balkon-im-haus-cumberland,https://www.ebay-kleinanzeigen.de/s-anzeige/feinste-ku-damm-lage-aktuell-vermietete-ruhige-2-zimmer-wohnung-mit-balkon-im-haus-cumberland/2156367847-196-3534
13359,Wedding,199900,49.31,1.0,vermietete-kapitalanlage-in-ruhiger-seitenfluegellage-in-berlin-wedding,https://www.ebay-kleinanzeigen.de/s-anzeige/vermietete-kapitalanlage-in-ruhiger-seitenfluegellage-in-berlin-wedding/1799042795-196-9666
10999,Kreuzberg,388000,52.0,2.0,liebevoll-renovierte-altbauwohnung-im-ruhigen-gartenhaus-fraenkelufer-landwehrkanal-,https://www.ebay-kleinanzeigen.de/s-anzeige/liebevoll-renovierte-altbauwohnung-im-ruhigen-gartenhaus-fraenkelufer-landwehrkanal-/2156324388-196-9629
13409,Reinickendorf,730000,116.46,4.0,grosszuegige-3-zimmer-wohnung-mit-2-balkonen-in-bald-aufbluehender-gegend-nahe-wedding,https://www.ebay-kleinanzeigen.de/s-anzeige/grosszuegige-3-zimmer-wohnung-mit-2-balkonen-in-bald-aufbluehender-gegend-nahe-wedding/2156319110-196-9652
13409,Reinickendorf,639000,94.17,3.0,in-einer-von-berlins-up-and-coming-wohnlagen-mit-dem-besten-aus-zwei-welten-der-lebendige-international-gepraegte-wedding-und-dem-buergerlichen-reinickendorf-befindet-sich-diese-neubau-wohnung-,https://www.ebay-kleinanzeigen.de/s-anzeige/in-einer-von-berlins-up-and-coming-wohnlagen-mit-dem-besten-aus-zwei-welten-der-lebendige-international-gepraegte-wedding-und-dem-buergerlichen-reinickendorf-befindet-sich-diese-neubau-wohnung-/2156315806-196-9652
13127,Französisch,444000,73.0,3.0,schoene-3-zimmer-dachgeschosswohnung-in-berlin-franzoesich-buchholz,https://www.ebay-kleinanzeigen.de/s-anzeige/schoene-3-zimmer-dachgeschosswohnung-in-berlin-franzoesich-buchholz/2156289316-196-26775
