plz,stadtteil,preis,groesse,zimmer,a_name,link
10407,Prenzlauer,361000.0,52.0,2.0,ruhige-kiezperle-2-zkb-terrasse-in-prenzlauer-berg,https://www.ebay-kleinanzeigen.de/s-anzeige/ruhige-kiezperle-2-zkb-terrasse-in-prenzlauer-berg/2154119261-196-3493
14193,Dahlem,1595000.0,177.0,6.0,grosszuegige-familienwohnung-im-klassischen-berliner-altbauensemble,https://www.ebay-kleinanzeigen.de/s-anzeige/grosszuegige-familienwohnung-im-klassischen-berliner-altbauensemble/1962819530-196-24192
12355,Rudow,1038850.0,131.5,4.0,-provisionsfrei-viel-raum-zur-freien-entfaltung-im-quartier-wassmannsdorfer,https://www.ebay-kleinanzeigen.de/s-anzeige/-provisionsfrei-viel-raum-zur-freien-entfaltung-im-quartier-wassmannsdorfer/2105255290-196-26893
10789,Schöneberg,395000.0,54.54,2.0,bezugsfreie-moderne-2-zimmer-balkonwohnung-mit-ebk-fusslaeufig-zum-kadewe,https://www.ebay-kleinanzeigen.de/s-anzeige/bezugsfreie-moderne-2-zimmer-balkonwohnung-mit-ebk-fusslaeufig-zum-kadewe/2156560777-196-9647
10777,Schöneberg,535000.0,57.91,2.0,bayerisches-viertel-bezugsfreie-2-zimmer-balkonwohnung-mit-ebk-und-2-pkw-stellplaetzen,https://www.ebay-kleinanzeigen.de/s-anzeige/bayerisches-viertel-bezugsfreie-2-zimmer-balkonwohnung-mit-ebk-und-2-pkw-stellplaetzen/2156559727-196-9644
14109,Nikolassee,1400000.0,156.0,7.0,unikat-dachgeschosswohnung-mit-teileigentum-fuer-platz-zum-gewerbe-in-top-lage-von-berlin-wannsee-,https://www.ebay-kleinanzeigen.de/s-anzeige/unikat-dachgeschosswohnung-mit-teileigentum-fuer-platz-zum-gewerbe-in-top-lage-von-berlin-wannsee-/2156559593-196-25896
12049,Neukölln,625000.0,76.52,3.0,lichtdurchflutete-stuck-altbauwohnung-mit-balkon-im-beliebten-schillerkiez,https://www.ebay-kleinanzeigen.de/s-anzeige/lichtdurchflutete-stuck-altbauwohnung-mit-balkon-im-beliebten-schillerkiez/2156558634-196-3396
14169,Zehlendorf,795000.0,135.0,4.0,helle-maisonette-wohnung-in-berlin-zehlendorf,https://www.ebay-kleinanzeigen.de/s-anzeige/helle-maisonette-wohnung-in-berlin-zehlendorf/2150793160-196-3529
12051,Neukölln,200000.0,75.0,3.0,erdgeschosswohnung-in-12051-berlin-juliusstr-,https://www.ebay-kleinanzeigen.de/s-anzeige/erdgeschosswohnung-in-12051-berlin-juliusstr-/2104951701-196-3393
10587,Charlottenburg,215000.0,37.56,1.0,top-zentrums-spreelage-sofortbezug-balkon-4593-,https://www.ebay-kleinanzeigen.de/s-anzeige/top-zentrums-spreelage-sofortbezug-balkon-4593-/2078385733-196-3346
